codigo,descricao,preco,Fabricante
7890300051740,ANULACAO DE VALOR RELATIVA A AQUISICAO DE SERVICO DE TRANSPORTE,"5,281.550",
7890300049594,APARA DE PAPELAO,0.400,
7890300049020,AVANCO AUTOMATICO PF-32 INMES 220V ,"3,390.000",INMES
7890300049747,AVANCO AUTOMATICO PF-38 INMES 220V TRIF.,"3,950.000",INMES
7890300050194,BOTAO DE EMERGENCIA GIRA P/SOLTAR 1NF FF-325,33.710,INMES
7890300048887,CINTA P/COLET.PO INMES  P03040090,27.900,INMES
7890300048108,COLAD.DE BORDA INMES IC-1000 220V,"5,500.000",INMES
7890300049945,COLAD.DE BORDA INMES IC-2000 R PLUS 220V,"23,189.890",INMES
7890300048160,COLAD.DE BORDA INMES IC-2002 R 220V,"21,993.550",INMES
7890300048788,COLAD.DE BORDA INMES IC-2003 DRP 220V,"42,542.360",INMES
7890300049495,COLAD.MAKSIWA CBC.ME MESA ESTEND.,"5,095.740",MAKSIWA
7890300049280,COLADEIRA DE BORDA MAKSIWA CBC  XX,"5,308.520",MAKSIWA
7890300049235,COLADEIRA MAKSIWA PORTATIL CBC.E (M),"3,925.540",MAKSIWA
7890300049297,COLETOR PO MAKSIVA CPD/3CT 3BC 3CV 2P,"3,290.000",MAKSIWA
7890300049303,COLETOR PO MAKSIWA CP/1.CT 1 BC 1CV 2P,"2,190.000",MAKSIWA
7890300049310,COLETOR PO MAKSIWA CP/2T 2BC 2CV 2P,"2,699.000",MAKSIWA
7890300051603,COLETOR PO PAREDE MAKSIWA CPP/1 (M) 1BC 1CV 2P MONOF.,"2,390.000",MAKSIWA
7890300051597,COLETOR PO PAREDE MAKSIWA CPP/1 (T) 1BC 1CV 2P TRIF.,"2,390.000",MAKSIWA
7890300048825,COMP.FLEXIVEL 2500X1220X03MM BALCAO,78.915,.
7890300047941,COMP.FLEXIVEL 2500X1220X06MM BALCAO,89.900,
7890300047958,COMP.FLEXIVEL 2500X1220X06MM COLUNA,89.900,
7890300049518,COMP.NAVAL PINUS CLEAR 06MM,61.900,G13
7890300048795,COMP.NAVAL PINUS CLEAR 10MM,93.900,G13
7890300048818,COMP.NAVAL PINUS CLEAR 18MM,156.900,G13
7890300051900,COMP.NAVAL PINUS CLEAR 20MM,174.900,G13
7890300047002,COMP.NAVAL VIROLA 06MM,68.900,G13
7890300047019,COMP.NAVAL VIROLA 10MM,99.900,G13
7890300047026,COMP.NAVAL VIROLA 15MM,136.900,G13
7890300047033,COMP.NAVAL VIROLA 18MM,164.900,G13
7890300047255,COMP.NAVAL VIROLA 2500 X 04MM,64.900,G13
7890300047262,COMP.NAVAL VIROLA 2500 X 06MM,78.900,G13
7890300046975,COMP.NAVAL VIROLA 2500 X 10MM,114.900,G13
7890300046982,COMP.NAVAL VIROLA 2500 X 15MM,159.900,G13
7890300046999,COMP.NAVAL VIROLA 2500 X 18MM,189.900,G13
7890300047071,COMP.PEROBA 2750 X 04MM COMERCIAL,179.000,
7890300046807,COMP.SARRAF.CURUPICHA 2200 X 15MM,174.900,
7890300046814,COMP.SARRAF.CURUPICHA 2200 X 18MM,184.900,
7890300046821,COMP.SARRAF.CURUPICHA 2750 X 15MM,234.900,
7890300046838,COMP.SARRAF.CURUPICHA 2750 X 18MM,269.000,
7890300046845,COMP.SARRAF.VIROLA 2200 X 15MM,139.000,
7890300051108,COMP.VIROLA BRANCA (PARICA) 2200 X 04MM,41.900,LUBERPLAC
7890300051115,COMP.VIROLA BRANCA (PARICA) 2200 X 06MM,56.900,LUBERPLAC
7890300051122,COMP.VIROLA BRANCA (PARICA) 2200 X 10MM,79.900,LUBERPLAC
7890300051139,COMP.VIROLA BRANCA (PARICA) 2200 X 15MM,109.900,LUBERPLAC
7890300051146,COMP.VIROLA BRANCA (PARICA) 2200 X 18MM,134.900,LUBERPLAC
7890300049242,COMP.VIROLA EXTRA G13 04MM,51.900,G13
7890300047279,COMP.VIROLA EXTRA G13 06MM,64.900,G13
7890300047286,COMP.VIROLA EXTRA G13 10MM,92.900,G13
7890300047293,COMP.VIROLA EXTRA G13 15MM,124.900,G13
7890300049389,COMP.VIROLA EXTRA G13 18MM,149.900,G13
7890300046937,COMP.VIROLA EXTRA G13 20MM,168.900,G13
7890300050460,COMP.VIROLA EXTRA G13 2500 X 18MM,159.000,G13
7890300046944,COMP.VIROLA EXTRA G13 25MM,214.900,G13
7890300047187,COMP.VIROLA ROSA(CURUPICHA) 2200 X 04MM,59.900,
7890300047194,COMP.VIROLA ROSA(CURUPICHA) 2200 X 06MM,76.900,
7890300047200,COMP.VIROLA ROSA(CURUPICHA) 2200 X 10MM,106.900,
7890300047040,COMP.VIROLA ROSA(CURUPICHA) 2200 X 15MM,144.900,
7890300047217,COMP.VIROLA ROSA(CURUPICHA) 2200 X 18MM,179.900,
7890300047927,COMP.VIROLA ROSA(CURUPICHA) 2750 X 04MM,99.000,.
7890300052280,CONTROLADOR DIG.TEMP.INMES MDH368N-90-240VCA-P299 THOLZ,485.000,INMES
7890300050187,CONTROLADOR UNIVERSAL INMES UC-03 (SECCIONADORA),"1,136.110",INMES
7890300047569,CORTE EM CHAPA,1.950,
7890300047507,DESEMP.2CV TRIF 2P220/380V DSP1300 25CM,"4,294.435",POSSAMAI
7890300048559,DESEMP.3CV TRIF 2P220/380V DSP1800 35CM,"7,695.271",POSSAMAI
7890300049822,DESEMP.3CV TRIF 2P220/380V DSP2100 40CM ,"9,071.936",POSSAMAI
7890300049419,DESEMP.POSSAMAI 2MX40CM 3CV DSI-2040,"7,076.339",POSSAMAI
7890300049426,DESENGR.POSSAMAI PDE-400 5CV,"10,786.400",POSSAMAI
7890300050118,EXAUSTOR INMES EF-200T 220V MONO,"2,707.792",INMES
7890300049013,EXAUSTOR INMES EF-200T 220V TRIF+1 TAMB.,"3,080.000",INMES
7890300048863,EXAUSTOR INMES EF-300T2 220TRIF+2 TAMB.,"3,490.000",INMES
7890300049952,EXAUSTOR INMES EF-500T2 C/2 TAMBORES 220V,"5,299.000",INMES
7890300048832,EXAUSTOR INMES EM-075A 110V MONO 60HZ PO,"2,099.000",INMES
7890300049075,EXAUSTOR INMES EM-075A 220V MONO 60HZ,"1,828.780",INMES
7890300051245,EXAUSTOR INMES EM-075A 220V TRIF 60HZ,"1,753.392",INMES
7890300048856,EXAUSTOR INMES EM-200T 220 TRI 01010434,"2,890.000",INMES
7890300049600,EXAUSTOR INMES EM-300T2 220V TRI 01010436,"4,290.000",INMES
7890300049082,EXAUSTOR INMES EM-500T2 220V+2 TAMBORES (USADO),"6,267.000",INMES
7890300047491,EXAUSTOR MOTOR 3CV TRIF 2P POSSAMAI ,"2,990.000",POSSAMAI
7890300049969,FILTRO INMES 60X100CM PERM.150,129.953,INMES
7890300049792,"FRESA MD 8,00X22,00X70,00MM  P/ PANTOGRAFO IP 100 INMES",449.985,INMES
7890300048849,FURAD.BANC.INMES IF6 220V P/DISP.MON,"3,190.000",INMES
7890300051504,FURAD.HORIZ.MAKSIWA FH.16 T REF. MANDRIL 5/8 MOTOR TRIF.,"6,890.000",MAKSIWA
7890300049563,FUSO DA COLA P/ COLETOR IC-1000 INMES,125.821,INMES
7890300049570,GUIA DO RETORNO DA COLA IC-1000 INMES,47.994,INMES
7890300049525,KIT CORTADOR IC-1000 INMES,198.000,INMES
7890300052297,KIT TERMOPAR INMES TIPO J 5X50MM,33.000,INMES
7890300051641,LATAO LIXO 200L,50.000,
7890300049433,LIXAD.DE DISCO VIMA LD-300 220V MONO,"1,054.000",VIMA
7890300049266,LIXAD.DISCO E FITA MAKSIWA LDF (T) C/MOTOR TRIF,"2,298.660",MAKSIWA
7890300049488,LIXAD.DISCO MAKSIWA LD300 C/MOTOR MONOF.,"1,590.000",MAKSIWA
7890300048955,LIXADEIRA VERRY 1500 MOT. 1CV,"2,790.900",VERRY
7890300050637,MADEIRA EUCALIPTO SECA BRUTA BICA,"1,050.000",MONFA
