Codigo|Descrição|Valor de Custo|Valor de Venda|Código fiscal|Lucro %
'7890100008753|1/2 TELHA ESMALTADA BRANCA|2,40 |4,10 ||70.83
'7890100008760|1/2 TELHA ESMALTADA MARFIM|2,40 |4,10 ||70.83
'7890100009019|ADUELA ANGELIM 13CM|60,00 |97,90 ||63.17
'7890100006902|ADUELA ANGELIN 15CM|45,00 |113,30 ||
'7890100005134|ADUELA ANGELIN ARMAGOSO 13CM X 2,5CM|30,00 |63,70 |3214.90.00|112.33
'7890100009149|ADUELA DE ANGELIM 14 CM|60,00 |100,00 ||
'7890100009224|ADUELA DE AR COND. 7500 - ADUELA 15 CM|20,00 |60,00 ||
7890000405534|ALISAR DE TAUARI DE 5 X 1.2|5,00 |35,00 |3214.90.00|600.00
'7890100004601|ALIZAR 5 X 1,0CM ANGELIN|5,00 |45,00 |3214.90.00|800.00
'7890100009378|ALMAFLEX 768 1 KG|18,60 |18,60 ||
'7890100008791|ANGELIM SERRADO EM BRUTO|1.950,00 |4.378,30 ||124.53
'7890100009194|ARAME RECOZIDO|7,98 |11,50 ||44.11
'7890100008623|ASSOALHO IPE 15 CM X 2 CM|105,00 |158,00 ||50.48
'7890100009071|ASSOALHO IPE COMERCIAL 15CM X 2CM|54,00 |95,00 ||
'7890100007954|ASSOALHO IPE TABACO 7CM|58,60 |143,30 ||144.54
'7890100008807|CEDRINHO SERRADO 30 X 2,5|14,60 |27,30 ||86.99
'7890100008876|CEDRINHO SERRADO 10 X 2,5|4,80 |9,10 ||89.58
'7890100008883|CEDRINHO SERRADO 15 X 2,5|7,20 |13,70 ||90.28
'7890100008890|CEDRINHO SERRADO 20 X 2,5||17,55 ||
'7890100008869|CEDRINHO SERRADO 5 X 2,5|2,20 |4,50 ||104.55
'7890100008913|CEDRINHO SERRADO 7,5 X 2,5|3,23 |7,20 ||122.91
'7890100008579|COMP. NAVAL 10MM 1.60 X 2.20|80,00 |104,00 ||30.00
'7890100008135|CUMARU SERRADO BRUTO|2.720,00 |7.004,00 ||157.50
'7890100008746|CUMIEIRA ESMALTADA BRANCA|4,00 |6,90 ||72.50
'7890100009286|CUMIERA ESMALTADA CINZA|4,00 |6,90 ||
'7890100008517|CUMIERA ESMALTADA MARFIM|4,00 |6,90 ||
'7890100008470|DECK CHAMPAGNE 10 CM X 2 CM|8,60 |16,50 ||91.86
'7890100009002|DECK DE DEMOLICAO 8X24 C/ 1,40M|37,10 |90,10 ||142.86
'7890100008999|DECK DE DEMOLICAO 8X24 C/ 2,80|74,20 |180,30 ||142.99
'7890100009514|DECK DEMOLICAO 24 X 7 CM|30,00 |43,50 ||
'7890100008487|DECK IPE 10 CM X 2 CM|4,95 |10,50 ||112.12
'7890100007862|DECK IPE TABACO 10CM X 2 CM|12,00 |22,00 ||
'7890100009385|DOB 447 ACO INOX POL 3 X 3|80,00 |80,00 ||
'7890100009163|DOBRADICA ISERO 3 POLEGADAS|10,00 |18,00 ||80.00
'7890100008982|DORMENTE 4 FACES 17 X 24 C/ 2,80M|148,35 |257,50 ||73.58
'7890100008975|ESCORA DE EUCALIPTO C/ 2,00M|3,66 |5,20 ||42.08
'7890100008494|ESCORA DE EUCALIPTO COM 3.00 METROS|4,58 |7,70 ||68.12
'7890100008647|ESCORA DE EUCALIPTO COM 4.00|7,00 |10,80 ||54.29
'7890100008463|ESCORA DE EUCALIPTO COM 6,00 METROS|9,17 |16,00 ||74.48
'7890100008296|EUCALIPTO BLOCOS 17CM X 24CM COM 2,80M|110,00 |201,60 ||83.27
'7890100008456|EUCALIPTO TRATADO 10/12 COM 2,20 METROS|9,20 |26,60 ||189.13
'7890100008616|EUCALIPTO TRATADO 13A15 CM COM 2.20 M|11,25 |37,20 ||230.67
'7890100008937|EUCALIPTO TRATADO 14A 16 CM C/6,00M|84,00 |180,20 ||114.52
'7890100008531|EUCALIPTO TRATADO 20 CM COM 3,00 METROS|60,00 |127,30 ||
'7890100008944|EUCALIPTO TRATADO 20CM C/ 6,00M|120,00 |257,50 ||114.58
'7890100008951|EUCALIPTO TRATADO 6 A 8CM C/ 3,00M|15,00 |36,10 ||
