1| ASTRA                | ASTRA S.A INDUSTRIA E COMERCIO                | CORREIA                                                      |50949528001070| 407.185.445.16  | (11)4527-6688              | O MESMO         | AV.MARGINAL VIA ANHANGUERA S/N KM62           |0|                       | JUNDIAI              |3525904| JUNDIAI              | SP |13211090| ASTRA@ASTRA-SA.COM.BR          |                 |      
2| PISA                 | L.L.E. FERRAGENS LTDA                         |                                                              |5953543000147|77657681| 2131-8545                  | 2131-8540       | AV. LONDRES, 270                              |0|                       | BONSUCESSO           |3304557| RIO DE JANEIRO       | RJ |21041030| FERRAGENSPISA@FERRAGENSPISA.CO |                 |      
3| TAMBASA ATACADISTAS  | TECIDOS E ARMARINHOS MIGUEL BARTOLOMEU S/A    | FRANCIS 021 3632 0902  RODRIGO 021 9733 8611                 |17359233000188|1860057420087|3133590000|                 | AV.MANOEL JACINTO COELHO JR,SN                |0|                       | TAPERA-CONTAGEM      |3215024|5| MG |32150245|                                |                 |      
4| FUZIL                | SBARDELLINI E CIA LTDA                        |                                                              |72861222000100|711001700110| (19)3641-5900              | (19)3641-5900   | ROD.SP344 KM243,4-S/N-CHACARA CLAUDIA         |0|                       | VARGEM GRANDE DO SUL |1388097|0| SP |13880970|                                |                 |      
5| SOLIDER              | INDUSTRIAS SOLIDER LTDA                       |                                                              |29371044000100|80176791|27716545|27719747| AV.PEDRO LESSA,325                            |0|                       | DUQUE DE CAXIAS-RJ   |2503580|0| RJ |25035800|                                |                 |      
6| DN AUTOMACAO IMPRESS | DGT-RJ INFORMATICA LTDA                       | MICHEL                                                       |73499642000150|84,903,396| (21) 2107-0707             |                 | AV. ROMA, 336                                 |0|                       | BONSUCESSO           |3304557| RIO DE JANEIRO       | RJ |21041060| WWW.DNAUTOMACAO.COM.BR         |                 |      
7| SYLVANIA             | HAVELLS SYLVANIA BRASIL ILUMINACAO LTDA       | EDNEI 2633-2599/ 9701-6902/ ID:129*15516                     |61578118000358|635617960110| (11)3133-2400              | (11)5524-0800   | AV.NICOLA DEMARCHI                            |1500| GALPAO C SALA A       | SAO B. DO CAMPO      |3548708| SAO BERNARDO CAMPO   | SP |9820655| ESCRITORIO_RIO@TERRA.COM.BR    |                 |      
8| VENTISOL             | VENTISOL IND.E COM.LTDA                       | ANTONIO 7876-3269/ ID:10*93293 021 7540-7999 9991-1195       |1763720000171|253486491|                            |                 | ROD. BR.282 KM19, N1500                       |0|                       | BELA VISTA           |4211900| PALHOCA              | SC |88130000| antonio.mondaini@yahoo.com.br  |                 |      
9| METALXA              | METALAX METALURGICA AXAX LTDA                 | 81X14269 MARCOS                                              |5903071000118|77613471| 021 2734 1465              | 021 2734 1465   | RUA JOSE CARDOSO DA SILVA S/Nø                |0|                       | CENTRO RIO BONITO    |3304300| RIO BONITO           | RJ |28800000|                                |                 |      
10| TRAMONTINA           | TRAMONTINA GARIBALDI S.A IND.MET              | RAFAEL MARTHINS 7889-6024 ID:98*36410                        |90049792000181|92010872| (54)3462-8000 (21)22245004 |                 | RUA TRAMONTINA NR.600                         |0|                       | TRES LAGOAS          |4308607| GARIBALDI            | RS |95720000| RAFAELMARTHINS@YAHOO.COM.BR    |                 |      
11| ITACORTE             | RM BRASIL DISTRIBUIDORA E SERV.LTDA-ME        | MAURICIO 7884-4067/ ID:98*1028/ 2614-2043                    |1977139000152|86021366|                            |                 | ESTR.VEREADOR ANTONIO CICERO                  |93|                       | CABU€U/ ITABORAI     |3301900| ITABORAI             | RJ |24800000| ITACORTE@HOTMAIL.COM           | BRASIL          |1058
12| ITAM                 | ITAM PORTAS E JANELAS                         | (21) 2487-9148/ 9996-1990 OSVALDO DA SILVA                   |0|                 | (24) 3338-0792/3346-7526   | O MESMO         | ESTR.EXISTENTE CALIFORNIA,120                 |0| LOTE:445              | CALIFORNIA DA BARRA  |3300308| BARRA DO PIRAI       | RJ |27165000| OSVANDEA@IG.COM.BR             |                 |      
13| FIORI CERAMICA       | FIORI CERAMICA LTDA                           | LUIZ CARLOS 7897-3054/ ID:8*81570                            |0|                 | (35) 3739-2100             |                 | RUA OLYNTHO TREVISAN, 490                     |0|                       | V. BUZATO            |3102605| ANDRADAS             | MG |37795000|                                | BR              |1111
14| APOIO                | APOIOELETRIC IND. COM. DE MATERIAIS ELET.LTDA | MARCOS 7859-1326/ ID:87*27471                                |0|                 | (11) 2910-7402             | (55) 2911-4746  |0|0|                       |0|3550308| SAO PAULO            | SP |10000000| SAC@APOIO.IND.BR               |                 |      
15| ROCHA                | METALURGICA ROCHA LTDA                        | ROGERIO                                                      |0|                 | 055 11 4746 7900           | 055 11 4748436  | RUA DOMINGOS ROCHA FERREIRA                   |0|82| SUZANO               |3552502| SUZANO               | SP |8664660|                                |                 |      
16| LOPES TINTAS         | G.LOPES COM.E REPRES.TINTAS LTDA              | 021 2405-6300 021 2405-0045                                  |856227000214|86087316| (21)2702-6300              |                 | AV.PRESIDENTE ROOSEVELT,972                   |0|                       | VISTA ALEGRE,S.GONCA |3304904| SAO GONCALO          | RJ |24722070| VENDAS@GLOPES.COM.BR           |                 |      
