ACARI|RIO DE JANEIRO|100.00
AGOSTINHO PORTO|SÃO JOÃO|105.00
ALCÂNTARA |SÃO GONÇALO|185.00
ALTO DA SERRA|PETRÓPOLIS|195.00
AMAPA|CAXIAS|85.00
ANCHIETA|RIO DE JANEIRO|115.00
ANDARAÍ|RIO DE JANEIRO|130.00
ANDORINHAS|MAGÉ|225.00
ANDRADAS|PETROPOLIS |350.00
ANGRA DOS REIS|CENTRO|500.00
ANIL|RIO DE JANEIRO|165.00
ANTONINA|SÃO GONÇALO|185.00
ARARUAMA|CENTRO|500.00
ARRAIAL DO CABO|CENTRO|600.00
AUSTIN|NOVA IGUAÇU|160.00
B. CAVALHEIROS|CAXIAS|85.00
BAIRRO DA LUZ|BELFORD ROXO|80.00
BAIRRO VONA|CAXIAS|80.00
BANCO DE AREIA|RIO DE JANEIRO|115.00
BANGU|RIO DE JANEIRO|135.00
BARRA DA TIJUCA|RIO DE JANEIRO|165.00
BARRA MANSA|CENTRO|460.00
BARRO BRANCO|BELFORD ROXO|115.00
BARRO VERMELHO|NITEROI/SÃO GONÇALO|165.00
BARROS FILHO|RIO DE JANEIRO|100.00
BEIRA MAR|CAXIAS|65.00
BELFORD ROXO|CENTRO|115.00
BENFICA|RIO DE JANEIRO|115.00
BENTO RIBEIRO|RIO DE JANEIRO|115.00
BINGEN|PETRÓPOLIS|190.00
BOA SORTE|BELFORD ROXO|85.00
BOIUNA -TAGUARA |RIO DE JANEIRO|165.00
BOM PASTOR|BELFORD ROXO|100.00
BONSUCESSO|RIO DE JANEIRO|105.00
BOTAFOGO|RIO DE JANEIRO|135.00
BRAZ DE PINA|RIO DE JANEIRO|85.00
BUZIOS|CENTRO|660.00
CABO FRIO|CENTRO|600.00
CABUÇU|NOVA IGUAÇU|165.00
CACHAMBI|RIO DE JANEIRO|115.00
CACHOEIRO DE MACACU|CENTRO|350.00
CAJU|RIO DE JANEIRO|115.00
CALIFORNIA|NOVA IGUAÇU|125.00
CAMORIM-V.GRANDE |RIO DE JANEIRO|185.00
CAMPO GRANDE|RIO DE JANEIRO|160.00
CAMPOS DOS GOITACAZES|CENTRO|850.00
CAMPOS ELISEOS|CAXIAS|85.00
CAPIVARI|CAXIAS|105.00
CARANGOLA|PETRÓPOLIS|245.00
CARMARI|NOVA IGUAÇU|125.00
CAROLINA|CAXIAS|85.00
CASCADURA|RIO DE JANEIRO|115.00
CASCATINHA|PETROPOLIS |220.00
CASTELO|RIO DE JANEIRO|125.00
CATETE|RIO DE JANEIRO|130.00
CEASA IRAJÁ|RIO DE JANEIRO|100.00
CENTENÁRIO|CAXIAS|65.00
CERÂMICA|NOVA IGUAÇU|135.00
CHACARA|CAXIAS|100.00
