  1865/4 - 0250                                               |2|37.61|41.37|45.1|37.61|0|0
  1856/2 - 0431                                               |     189- |52.35|57.59|62.8|52.35|0|0
  1860/9 - 0802                                               |2|40.32|44.35|48.4|40.32|0|0
  1866/1 - 0850                                               |0|37.61|41.37|45.1|37.61|0|0
  1861/6 - 0910                                               |0|43.35|47.69|52|43.35|0|0
  1864/7 - 0950                                               |1|37.61|41.37|45.1|37.61|0|0
  2131/9 - 1 INTERRUPTOR PARALELO+TOMADA PADR 10A             |0|10.83|11.91|13|10.83|12.03|12.03
  2127/2 - 1 INTERRUPTOR SIMP+1 TOM 2P+T 10A 250V CLARIS      |0|18.41|20.25|22.1|18.41|9|9
  2135/7 - 1 INTERRUPTOR SIMP+1 TOMADA 20A                    |12|11.63|12.79|14|11.63|12.93|12.93
  2130/2 - 1 INTERRUPTOR SIMP+4 TOMADA PADR 20A               |0|8.13|8.94|9.8|8.13|0|0
  2132/6 - 1 INTERRUPTOR SIMPL+1PARAL+1 TOM 10A               |9|14.84|16.32|17.8|14.84|17.46|17.46
  2125/8 - 1 TOMADA PADR 10A BR                               |33|4.8|5.28|5.8|4.8|5.34|5.34
  2124/1 - 1 TOMADA PADR 20A BR                               |7|5.28|5.81|6.3|5.28|5.87|5.87
  1300/0 - 1002                                               |14|27|29.7|32.4|27|0|0
  2012/1 - 1002 DUCHA HIGIENICA ABS C-40                      |       6- |95.6|105.16|114.7|95.6|0|0
  1622/3 - 1003                                               |4|27|29.7|32.4|27|0|0
  1566/0 - 1004                                               |4|27|29.7|32.4|27|0|0
   280/6 - 1005                                               |9|29.9|32.89|35.9|29.9|0|0
   279/0 - 1006                                               |3|33|36.3|39.6|33|0|0
  1501/1 - 1008                                               |4|33|36.3|39.6|33|0|0
  1851/7 - 1009                                               |0|27|29.7|32.4|27|0|0
  1850/0 - 1010                                               |1|27|29.7|32.4|27|0|0
   278/3 - 1011                                               |3|27|29.7|32.4|27|0|0
  1854/8 - 1012                                               |     174- |32.79|36.07|39.4|32.79|43.72|43.72
