CONTROLE;CODIGO_CEST;NCM_SH;DESCRICAO;GRUPO;DESCRICAO_GRUPO;NCM
967;28.041.00;13;Produtos das indústrias alimentares e bebidas;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
967;28.041.00;15;Produtos das indústrias alimentares e bebidas;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
967;28.041.00;16;Produtos das indústrias alimentares e bebidas;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
967;28.041.00;17;Produtos das indústrias alimentares e bebidas;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
967;28.041.00;18;Produtos das indústrias alimentares e bebidas;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
967;28.041.00;19;Produtos das indústrias alimentares e bebidas;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
967;28.041.00;20;Produtos das indústrias alimentares e bebidas;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
967;28.041.00;21;Produtos das indústrias alimentares e bebidas;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
967;28.041.00;22;Produtos das indústrias alimentares e bebidas;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
969;28.043.00;22;Produtos de limpeza e conservação doméstica;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
967;28.041.00;23;Produtos das indústrias alimentares e bebidas;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
969;28.043.00;27;Produtos de limpeza e conservação doméstica;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
969;28.043.00;28;Produtos de limpeza e conservação doméstica;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
969;28.043.00;29;Produtos de limpeza e conservação doméstica;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
961;28.035.00;33;Outros produtos cosméticos e de higiene pessoal não relacionados em outros itens deste anexo;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
968;28.042.00 ;33;Produtos destinados à higiene bucal;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
969;28.043.00;33;Produtos de limpeza e conservação doméstica;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
961;28.035.00;34;Outros produtos cosméticos e de higiene pessoal não relacionados em outros itens deste anexo;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
969;28.043.00;34;Produtos de limpeza e conservação doméstica;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
969;28.043.00;35;Produtos de limpeza e conservação doméstica;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
969;28.043.00;38;Produtos de limpeza e conservação doméstica;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
963;28.037.00;39;Acessórios (por exemplo, bijuterias, relógios, óculos de sol, bolsas,mochilas, frasqueiras,carteiras,porta-cartões,porta-documentos,porta-celulares e embalagens presenteáveis (por exemplo, caixinhas de papel), entre outros itens assemelhados);28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
966;28.040.00;39;Artigos de casa;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
969;28.043.00;39;Produtos de limpeza e conservação doméstica;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
966;28.040.00;40;Artigos de casa;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
963;28.037.00;42;Acessórios (por exemplo, bijuterias, relógios, óculos de sol, bolsas,mochilas, frasqueiras,carteiras,porta-cartões,porta-documentos,porta-celulares e embalagens presenteáveis (por exemplo, caixinhas de papel), entre outros itens assemelhados);28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
965;28.039.00;42;Outros artigos de vestuário em geral, exceto os relacionados no item anterior;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
962;28.036.00;44;Outros artigos destinados a cuidados pessoais não relacionados em outros itens deste anexo;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
963;28.037.00;48;Acessórios (por exemplo, bijuterias, relógios, óculos de sol, bolsas,mochilas, frasqueiras,carteiras,porta-cartões,porta-documentos,porta-celulares e embalagens presenteáveis (por exemplo, caixinhas de papel), entre outros itens assemelhados);28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
965;28.039.00;52;Outros artigos de vestuário em geral, exceto os relacionados no item anterior;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
965;28.039.00;55;Outros artigos de vestuário em geral, exceto os relacionados no item anterior;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
966;28.040.00;56;Artigos de casa;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
965;28.039.00;58;Outros artigos de vestuário em geral, exceto os relacionados no item anterior;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
964;28.038.00;61;Vestuário e seus acessórios; calçados, polainas e artefatos semelhantes, e suas partes;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
964;28.038.00;62;Vestuário e seus acessórios; calçados, polainas e artefatos semelhantes, e suas partes;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
965;28.039.00;63;Outros artigos de vestuário em geral, exceto os relacionados no item anterior;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
966;28.040.00;63;Artigos de casa;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
969;28.043.00;63;Produtos de limpeza e conservação doméstica;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
962;28.036.00;64;Outros artigos destinados a cuidados pessoais não relacionados em outros itens deste anexo;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
964;28.038.00;64;Vestuário e seus acessórios; calçados, polainas e artefatos semelhantes, e suas partes;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
962;28.036.00;65;Outros artigos destinados a cuidados pessoais não relacionados em outros itens deste anexo;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
965;28.039.00;65;Outros artigos de vestuário em geral, exceto os relacionados no item anterior;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
966;28.040.00;66;Artigos de casa;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
969;28.043.00;68;Produtos de limpeza e conservação doméstica;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
966;28.040.00;69;Artigos de casa;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
966;28.040.00;70;Artigos de casa;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
963;28.037.00;71;Acessórios (por exemplo, bijuterias, relógios, óculos de sol, bolsas,mochilas, frasqueiras,carteiras,porta-cartões,porta-documentos,porta-celulares e embalagens presenteáveis (por exemplo, caixinhas de papel), entre outros itens assemelhados);28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
966;28.040.00;73;Artigos de casa;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
969;28.043.00;73;Produtos de limpeza e conservação doméstica;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
962;28.036.00;82;Outros artigos destinados a cuidados pessoais não relacionados em outros itens deste anexo;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
966;28.040.00;82;Artigos de casa;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
963;28.037.00;83;Acessórios (por exemplo, bijuterias, relógios, óculos de sol, bolsas,mochilas, frasqueiras,carteiras,porta-cartões,porta-documentos,porta-celulares e embalagens presenteáveis (por exemplo, caixinhas de papel), entre outros itens assemelhados);28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
966;28.040.00;83;Artigos de casa;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
966;28.040.00;84;Artigos de casa;28;VENDA DE MERCADORIAS PELO SISTEMA PORTA A PORTA ;
