Codigo|Produtos|Codigo.Fiscal Regime Simples|Codigo.Fiscal Regime Normal|NCM|CST ICMS|CST PIS/ COFINS NA ENTRADA|CST PIS/ COFINS NA SAÍDA|CFOP
3|PUX 01 M MARFIM|||9403.90.10|00|50|01|5102
4|PUX 01 M MOGNO|||9403.90.10|00|50|01|5102
5|PUX 01 P CEREJEIRA|||9403.90.10|00|50|01|5102
6|PUX 01 P MARFIM|||9403.90.10|00|50|01|5102
7|PUX 01 P MOGNO|||9403.90.10|00|50|01|5102
8|PUX 02 M CEREJEIRA|||9403.90.10|00|50|01|5102
9|PUX 02 M MARFIM|||9403.90.10|00|50|01|5102
10|PUX 02 M MOGNO|||9403.90.10|00|50|01|5102
11|PUX 02 P CEREJEIRA|||9403.90.10|00|50|01|5102
12|PUX 02 P MARFIM|||9403.90.10|00|50|01|5102
13|PUX 02 P MOGNO|||9403.90.10|00|50|01|5102
14|PUX 03 M CEREJEIRA|||9403.90.10|00|50|01|5102
15|PUX 03 M MARFIM|||9403.90.10|00|50|01|5102
16|PUX 03 M MOGNO|||9403.90.10|00|50|01|5102
17|PUX 03 P CEREJEIRA|||9403.90.10|00|50|01|5102
18|PUX 03 P MARFIM|||9403.90.10|00|50|01|5102
19|PUX 03 P MOGNO|||9403.90.10|00|50|01|5102
21|CHAVEIRO|83014000.5405.0500.0000|83014000.5405.0060.0000|8301.40.00|60|50|01|5405
23|FLEXTEC FT 101 390 GRS|||9403.90.10|00|50|01|5102
1028802|CASCOLA M E FIXA PL500 360 GRS|35061090.5102.0101.0000|35061090..0000.0000|3506.10.90|00|50|01|5102
1028801|CASCOLA M E FIXA PL500 085 GRS|35061090.5102.0101.0000|35069190..0010.0000|3506.10.90|00|50|01|5102
26|PUX 111 P CEREJEIRA|||9403.90.10|00|50|01|5102
27|PUX 111 P MARFIM|||9403.90.10|00|50|01|5102
28|PUX 111 P MOGNO|||9403.90.10|00|50|01|5102
29|PUX 111 PP CEREJEIRA|||9403.90.10|00|50|01|5102
30|PUX 111 PP MARFIM|||9403.90.10|00|50|01|5102
31|PUX 111 PP MOGNO|||9403.90.10|00|50|01|5102
32|PUX 112 P CEREJEIRA|||9403.90.10|00|50|01|5102
33|PUX 112 P MARFIM|||9403.90.10|00|50|01|5102
34|PUX 112 P MOGNO|||9403.90.10|00|50|01|5102
35|PUX 112 PP CEREJEIRA|||9403.90.10|00|50|01|5102
36|PUX 112 PP MARFIM|||9403.90.10|00|50|01|5102
37|PUX 112 PP MOGNO|||9403.90.10|00|50|01|5102
38|PUX 114 P CEREJEIRA|||9403.90.10|00|50|01|5102
39|PUX 114 P MARFIM|||9403.90.10|00|50|01|5102
40|PUX 114 P MOGNO|||9403.90.10|00|50|01|5102
41|PUX 114 PP CEREJEIRA|||9403.90.10|00|50|01|5102
42|PUX 114 PP MARFIM|||9403.90.10|00|50|01|5102
43|PUX 114 PP MOGNO|||9403.90.10|00|50|01|5102
44|MDF FINILINE 2,75X1,83  6MM 1FACE|44111490.5405.0500.0000|44111490.5405.0060.0000|4411.13.99|00|50|01|5102
45|MDF WENGUE 2,75X1,83 15MM 2FACE|44111490.5405.0500.0000|44111490.5405.0060.0000|4411.13.99|00|50|01|5102
115000|PUX 1150 HC C/TRAVA PRETO|||9403.90.10|00|50|01|5102
48|MDF FINILINE 2,75X1,83 18MM 2FACE|44111490.5405.0500.0000|44111490.5405.0060.0000|4411.13.99|00|50|01|5102
49|MDF PEROLA MAIORCA   15MM 2FACE|44111490.5405.0500.0000|44111490.5405.0060.0000|4411.13.99|00|50|01|5102
50|PUX 116 P CEREJEIRA|||9403.90.10|00|50|01|5102
51|PUX 116 P MARFIM|||9403.90.10|00|50|01|5102
52|PUX 116 P MOGNO|||9403.90.10|00|50|01|5102
53|PUX 116 PP CEREJEIRA|||9403.90.10|00|50|01|5102
54|PUX 116 PP MARFIM|||9403.90.10|00|50|01|5102
55|PUX 116 PP MOGNO|||9403.90.10|00|50|01|5102
56|PUX 117 P CEREJEIRA|||9403.90.10|00|50|01|5102
57|PUX 117 P MARFIM|||9403.90.10|00|50|01|5102
58|PUX 117 P MOGNO|||9403.90.10|00|50|01|5102
59|PUX 117 PP CEREJEIRA|||9403.90.10|00|50|01|5102
60|PUX 117 PP MARFIM|||9403.90.10|00|50|01|5102
61|PUX 117 PP MOGNO|||9403.90.10|00|50|01|5102
62|PUX 118 P CEREJEIRA|||9403.90.10|00|50|01|5102
63|PUX 118 P MARFIM|||9403.90.10|00|50|01|5102
64|PUX 118 P MOGNO|||9403.90.10|00|50|01|5102
65|PUX 118 PP CEREJEIRA|||9403.90.10|00|50|01|5102
66|PUX 118 PP MARFIM|||9403.90.10|00|50|01|5102
67|PUX 118 PP MOGNO|||9403.90.10|00|50|01|5102
68|PUX 119 P CEREJEIRA|||9403.90.10|00|50|01|5102
69|PUX 119 P MARFIM|||9403.90.10|00|50|01|5102
70|PUX 119 P MOGNO|||9403.90.10|00|50|01|5102
71|PUX 119 PP CEREJEIRA|||9403.90.10|00|50|01|5102
72|PUX 119 PP MARFIM|||9403.90.10|00|50|01|5102
73|PUX 119 PP MOGNO|||9403.90.10|00|50|01|5102
74|PUX 120 P CEREJEIRA|||9403.90.10|00|50|01|5102
75|PUX 120 P MARFIM|||9403.90.10|00|50|01|5102
76|PUX 120 P MOGNO|||9403.90.10|00|50|01|5102
77|PUX 120 PP CEREJEIRA|||9403.90.10|00|50|01|5102
78|PUX 120 PP MARFIM|||9403.90.10|00|50|01|5102
79|PUX 120 PP MOGNO|||9403.90.10|00|50|01|5102
80|PUX 121 P CEREJEIRA|||9403.90.10|00|50|01|5102
81|PUX 121 P MARFIM|||9403.90.10|00|50|01|5102
82|PUX 121 P MOGNO|||9403.90.10|00|50|01|5102
83|PUX 121 PP CEREJEIRA|||9403.90.10|00|50|01|5102
84|PUX 121 PP MARFIM|||9403.90.10|00|50|01|5102
